"lat"	"long"	"total"
-12.0500001907349	-77.0500030517578	1
-2.88330006599426	-78.9832992553711	1
-3.31669998168945	-41.4166984558105	1
-33.4500007629395	151.333297729492	1
-34.4333000183105	150.88330078125	1
-34.9333000183105	138.600006103516	2
-37.8689994812012	144.692993164062	1
-42.9166984558105	147.333297729492	1
-8.05000019073486	-34.9000015258789	1
1	32	1
10.2833003997803	-61.3166999816895	1
10.6316995620728	-71.6406021118164	2
12.1167001724243	-61.6666984558105	5
12.7333002090454	123.699996948242	1
13.1000003814697	-59.61669921875	3
14.6211004257202	-90.5269012451172	1
14.6332998275757	121.050003051758	1
14.6999998092651	120.966697692871	2
15.3275003433228	120.590797424316	1
16.25	-61.5833015441895	2
17.2999992370605	-62.7167015075684	5
17.3752994537354	78.4744033813477	1
18.25	-66.5	11
18.3684997558594	-66.1651000976562	3
18.4207992553711	-66.0615997314453	5
18.4316005706787	-66.2613983154297	1
19	-70.6667022705078	4
19.4342002868652	-99.1386032104492	5
20	77	2
20.6989002227783	-156.442993164062	2
20.845100402832	-156.308700561523	2
20.8803005218506	-156.468902587891	2
20.9090995788574	-156.621597290039	3
21.2749996185303	-157.816497802734	2
21.2959995269775	-157.827392578125	3
21.3421993255615	-157.83740234375	6
21.3430004119873	-157.934906005859	3
21.3628997802734	-157.872695922852	4
21.411600112915	-158.018295288086	7
21.4218997955322	-157.937103271484	3
21.4570007324219	-158.173004150391	3
21.5487995147705	-158.029800415039	14
22.1937999725342	-159.38720703125	1
22.5666999816895	72.9332962036133	1
23.1833000183105	75.7667007446289	1
23.5	121	1
24.1667003631592	-110.300003051758	1
25	45	2
25.0832996368408	-77.3499984741211	4
25.4845008850098	-80.5099029541016	5
25.5499992370605	-103.433296203613	1
25.6662998199463	-80.2923965454102	1
25.7341003417969	-80.3593978881836	6
25.7614994049072	-80.2938995361328	125
25.8124008178711	-80.2400970458984	1
25.8141002655029	-80.1872024536133	1
25.8582000732422	-80.1312026977539	2
25.8904991149902	-80.3352966308594	3
25.9274005889893	-80.1800994873047	9
25.9335994720459	-80.2585983276367	8
26.0184993743896	-80.344596862793	4
26.0652008056641	-80.3703994750977	1
26.0697994232178	-80.222297668457	1
26.0832996368408	-98.283302307129	1
26.1000995635986	-80.2723007202148	7
26.1499996185303	-80.2685012817383	1
26.1534004211426	-80.2248992919922	2
26.1546001434326	-98.2044982910156	8
26.2119998931885	-80.2668991088867	7
26.2418003082275	-80.1644973754883	1
26.2441997528076	-80.2059020996094	10
26.2453994750977	-97.6836013793945	3
26.2968006134033	-81.7895965576172	5
26.3031005859375	-80.2701034545898	1
26.3672008514404	-81.8033981323242	4
26.3738994598389	-80.1467971801758	16
26.3750991821289	-98.1867980957031	8
26.3997001647949	-81.7011032104492	3
26.4540004730225	-80.13330078125	1
26.4899997711182	-97.7357025146484	1
26.5105991363525	-98.6533966064453	5
26.574499130249	-81.9438018798828	1
26.5958003997803	-80.1298980712891	9
26.6291999816895	-81.9431991577148	1
26.638599395752	-80.2511978149414	5
26.6632995605469	-80.128402709961	2
26.6951007843018	-80.6429977416992	3
26.7176990509033	-80.1258010864258	33
26.7199993133545	-80.070198059082	5
26.7616004943848	-80.0915985107422	2
26.8759994506836	-82.2680969238281	2
26.9661998748779	-82.3243026733398	2
26.9771995544434	-82.155403137207	3
26.9771995544434	-82.3498001098633	4
26.9860000610352	-80.1185989379883	1
27.054500579834	-80.1436004638672	1
27.054500579834	-82.117301940918	1
27.0755004882812	-82.3951034545898	2
27.0839996337891	-82.2074966430664	11
27.1340999603271	-82.2500991821289	2
27.1485996246338	-80.2393035888672	6
27.2187004089355	-82.4710006713867	6
27.2378997802734	-82.3560028076172	2
27.2964992523193	-80.2919998168945	3
27.3255004882812	-82.4733963012695	4
27.3374996185303	-82.5139999389648	3
27.3654003143311	-82.5357971191406	1
27.3852996826172	-82.6368026733398	2
27.4137992858887	-82.3697967529297	1
27.4393005371094	-82.5214004516602	4
27.5000991821289	-82.396598815918	3
27.5137004852295	-81.5177993774414	1
27.55299949646	-99.4455032348633	1
27.6348991394043	-97.3128967285156	1
27.6637001037598	-97.3603973388672	2
27.7019996643066	-97.342399597168	3
27.7038993835449	-98.0843963623047	4
27.714599609375	-82.2322006225586	1
27.7152004241943	-80.4692001342773	1
27.786600112915	-82.1439971923828	3
27.7896995544434	-82.7283020019531	5
27.8006992340088	-80.4918975830078	2
27.8020000457764	-81.9898986816406	4
27.8188991546631	-82.7289962768555	1
27.8488998413086	-82.8282012939453	2
27.8563003540039	-82.6317977905273	2
27.8700008392334	-81.5316009521484	1
27.8715000152588	-82.6541976928711	1
27.8889007568359	-81.8135986328125	2
27.8953990936279	-82.7874984741211	4
27.9220008850098	-82.5	2
27.9444007873535	-82.4189987182617	1
27.9475002288818	-81.9204025268555	1
